World Rank,Institution Name,Location,Score,Domain
337,Nankai University,China,75.8,nankai.edu.cn
338,University of Southern Denmark,Denmark,75.8,sdu.dk
339,University of Turku,Finland,75.8,utu.fi
340,Hong Kong University of Science and Technology,Hong Kong,75.8,ust.hk
341,Temple University,USA,75.8,temple.edu
342,Hong Kong Polytechnic University,Hong Kong,75.7,polyu.edu.hk
343,University of Belgrade,Serbia,75.7,bg.ac.rs
344,Northeastern University,USA,75.7,northeastern.edu
345,University of Stuttgart,Germany,75.7,uni-stuttgart.de
346,Dalian University of Technology,China,75.7,dlut.edu.cn
347,Tianjin University,China,75.7,tju.edu.cn
348,Pohang University of Science and Technology,South Korea,75.7,postech.ac.kr
349,University of Genoa,Italy,75.6,unige.it
